Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
Shriram ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,-4.21,11.28,13.22,0.84,47.53,Growth,Active Fund,INF680P01158,Yes
Quant Small Cap Fund - Direct (G),Small Cap Fund,5000,Very High,-4.35,20.74,39.22,0.65,25183.45,Growth,Active Fund,INF966L01689,Yes
Quant Teck Fund - Direct (G),Sectoral / Thematic,5000,Very High,-4.36,,,0.79,406.7,Growth,Active Fund,INF966L01CT6,Yes
Quant Quantamental Fund - Direct (G),Sectoral / Thematic,5000,Very High,-4.41,23.89,,0.59,2122.29,Growth,Active Fund,INF966L01AK9,Yes
Motilal Oswal Nifty 200 Momentum 30 Index Fund - Direct (G),Index Fund,500,Very High,-4.42,12.29,,0.31,840.59,Growth,Passive Fund,INF247L01AV1,Yes
Motilal Oswal Focused Fund - Direct (G),Focused Fund,500,Very High,-4.59,7.94,9.86,1.01,1503.81,Growth,Active Fund,INF247L01189,Yes
ICICI Pru Nifty 200 Momentum 30 Index Fund-Dir (G),Index Fund,5000,Very High,-4.63,,,0.38,466.86,Growth,Passive Fund,INF109KC11D8,Yes
Bandhan Nifty200 Momentum 30 Index Fund - Dir (G),Index Fund,1000,Very High,-4.92,,,0.41,124.01,Growth,Passive Fund,INF194KB1DP9,Yes
Taurus Mid Cap Fund - Direct (G),Mid Cap Fund,500,Very High,-5.09,15.11,17.65,2.13,119.95,Growth,Active Fund,INF044D01CA9,Yes
Motilal Oswal Balance Advantage Fund-Dir (G),Dynamic Asset Allocation or Balanced Advantage,500,Very High,-5.31,7.14,7.25,0.99,1011.12,Growth,Active Fund,INF247L01635,Yes
Shriram Flexi Cap Fund - Direct (G),Flexi Cap Fund,500,Very High,-5.62,11.5,13.27,0.79,129.67,Growth,Active Fund,INF680P01109,Yes
Quant Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,-5.76,17.16,29.72,0.61,6829.09,Growth,Active Fund,INF966L01911,Yes
Quant Active Fund - Direct (G),Multi Cap Fund,5000,Very High,-5.98,13.56,26.33,0.57,9863.14,Growth,Active Fund,INF966L01614,Yes
Quant Consumption Fund - Direct (G),Sectoral / Thematic,5000,Very High,-6.6,,,0.88,310.18,Growth,Active Fund,INF966L01DN7,Yes
Quant ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,-7.18,15.3,29.25,0.59,10278.66,Growth,Active Fund,INF966L01986,Yes
Motilal Oswal Multi Asset Fund - Direct (G),Multi Asset Allocation,500,Moderately High,-7.6,3.16,,0.9,95.5,Growth,Active Fund,INF247L01AI8,Yes
Quant BFSI Fund - Direct (G),Sectoral / Thematic,5000,Very High,-7.75,,,0.72,601.24,Growth,Active Fund,INF966L01BX0,Yes
HSBC Brazil Fund - Direct (G),FoFs Overseas,5000,Very High,-9.04,1.43,-5.6,1.83,50.05,Growth,Active Fund,INF336L01BY4,Yes
Quant Infrastructure Fund - Direct (G),Sectoral / Thematic,5000,Very High,-10.32,18.6,32.03,0.68,3303.71,Growth,Active Fund,INF966L01721,Yes
Aditya Birla SL PSU Equity Fund - Direct (G),Sectoral / Thematic,500,Very High,-10.78,27.95,25.99,0.55,5168.64,Growth,Active Fund,INF209KB1O82,Yes
Samco ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,-13.33,,,0.98,106.24,Growth,Active Fund,INF0K1H01065,Yes
